folder,filename,path,width,height,depth,fps,frames,duration,event_name,event_start,event_duration
drunken,208-2_cam02_drunken01_place01_night_summer.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam02_drunken01_place01_night_summer.mp4,3840,2160,3,30,8074,00:04:29.1,drunken,00:00:13.1,00:04:09.2
drunken,208-2_cam02_drunken01_place01_night_winter.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam02_drunken01_place01_night_winter.mp4,3840,2160,3,30,8353,00:04:38.5,drunken,00:00:13.8,00:04:16.1
drunken,208-2_cam01_drunken01_place01_night_spring.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam01_drunken01_place01_night_spring.mp4,3840,2160,3,30,8169,00:04:32.3,drunken,00:00:14.2,00:04:12.9
drunken,208-2_cam03_drunken01_place01_night_winter.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam03_drunken01_place01_night_winter.mp4,3840,2160,3,30,8325,00:04:37.5,drunken,00:00:18.5,00:04:09.6
drunken,208-2_cam03_drunken01_place01_night_summer.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam03_drunken01_place01_night_summer.mp4,3840,2160,3,30,8114,00:04:30.5,drunken,00:00:13.7,00:04:04.8
drunken,208-2_cam01_drunken01_place01_night_winter.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam01_drunken01_place01_night_winter.mp4,3840,2160,3,30,8321,00:04:37.4,drunken,00:00:17.0,00:04:10.4
drunken,208-2_cam03_drunken01_place01_night_spring.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam03_drunken01_place01_night_spring.mp4,3840,2160,3,30,8227,00:04:34.2,drunken,00:00:15.1,00:04:04.4
drunken,208-2_cam01_drunken01_place01_night_summer.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam01_drunken01_place01_night_summer.mp4,3840,2160,3,30,8017,00:04:27.2,drunken,00:00:12.5,00:04:06.3
drunken,208-2_cam02_drunken01_place01_night_spring.mp4,12_Drunken/insidedoor_01/208-2/208-2_cam02_drunken01_place01_night_spring.mp4,3840,2160,3,30,8202,00:04:33.4,drunken,00:00:14.7,00:04:12.4
drunken,209-2_cam01_drunken01_place03_night_spring.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam01_drunken01_place03_night_spring.mp4,3840,2160,3,30,8375,00:04:39.2,drunken,00:00:09.6,00:04:22.1
drunken,209-2_cam03_drunken01_place03_night_spring.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam03_drunken01_place03_night_spring.mp4,3840,2160,3,30,8413,00:04:40.4,drunken,00:00:10.9,00:04:21.4
drunken,209-2_cam01_drunken01_place03_night_summer.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam01_drunken01_place03_night_summer.mp4,3840,2160,3,30,8468,00:04:42.3,drunken,00:00:11.8,00:04:21.0
drunken,209-2_cam02_drunken01_place03_night_summer.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam02_drunken01_place03_night_summer.mp4,3840,2160,3,30,8499,00:04:43.3,drunken,00:00:12.1,00:04:20.9
drunken,209-2_cam02_drunken01_place03_night_spring.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam02_drunken01_place03_night_spring.mp4,3840,2160,3,30,8426,00:04:40.9,drunken,00:00:11.0,00:04:21.7
drunken,209-2_cam02_drunken01_place03_night_winter.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam02_drunken01_place03_night_winter.mp4,3840,2160,3,30,8400,00:04:40.0,drunken,00:00:12.2,00:04:21.5
drunken,209-2_cam03_drunken01_place03_night_winter.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam03_drunken01_place03_night_winter.mp4,3840,2160,3,30,8390,00:04:39.7,drunken,00:00:13.4,00:04:19.3
drunken,209-2_cam03_drunken01_place03_night_summer.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam03_drunken01_place03_night_summer.mp4,3840,2160,3,30,8462,00:04:42.1,drunken,00:00:12.3,00:04:20.5
drunken,209-2_cam01_drunken01_place03_night_winter.mp4,12_Drunken/insidedoor_01/209-2_drunken01_place03_night/209-2_cam01_drunken01_place03_night_winter.mp4,3840,2160,3,30,8368,00:04:38.9,drunken,00:00:12.1,00:04:21.3
drunken,209-3_cam02_drunken01_place03_night_winter.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam02_drunken01_place03_night_winter.mp4,3840,2160,3,30,8590,00:04:46.3,drunken,00:00:14.1,00:04:26.2
drunken,209-3_cam03_drunken01_place03_night_winter.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam03_drunken01_place03_night_winter.mp4,3840,2160,3,30,8557,00:04:45.2,drunken,00:00:14.8,00:04:24.0
drunken,209-3_cam02_drunken01_place03_night_spring.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam02_drunken01_place03_night_spring.mp4,3840,2160,3,30,7990,00:04:26.4,drunken,00:00:15.2,00:03:51.2
drunken,209-3_cam01_drunken01_place03_night_spring.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam01_drunken01_place03_night_spring.mp4,3840,2160,3,30,7987,00:04:26.3,drunken,00:00:13.1,00:03:53.6
drunken,209-3_cam01_drunken01_place03_night_winter.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam01_drunken01_place03_night_winter.mp4,3840,2160,3,30,8525,00:04:44.2,drunken,00:00:12.7,00:04:26.3
drunken,209-3_cam03_drunken01_place03_night_spring.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam03_drunken01_place03_night_spring.mp4,3840,2160,3,30,7983,00:04:26.1,drunken,00:00:17.6,00:03:48.7
drunken,209-3_cam02_drunken01_place03_night_summer.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam02_drunken01_place03_night_summer.mp4,3840,2160,3,30,8388,00:04:39.6,drunken,00:00:15.4,00:04:17.4
drunken,209-3_cam01_drunken01_place03_night_summer.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam01_drunken01_place03_night_summer.mp4,3840,2160,3,30,8409,00:04:40.3,drunken,00:00:16.5,00:04:17.4
drunken,209-3_cam03_drunken01_place03_night_summer.mp4,12_Drunken/insidedoor_01/209-3_drunken01_place03_night/209-3_cam03_drunken01_place03_night_summer.mp4,3840,2160,3,30,8390,00:04:39.7,drunken,00:00:19.2,00:04:13.5
